expnum;num_robots;clever;num_broken;wscount1;wscount2;wscount3;wscount4;wscount5;wscount6;wscount7;wscount8;wscount9;wscount10;wscountsum
1;45;False;0;0;0;0;0;1;0;0;0;1;2;4
2;45;False;0;0;0;0;0;0;0;1;0;0;1;2
3;45;False;0;0;0;0;0;0;0;0;0;0;2;2
4;45;False;0;0;0;0;0;1;0;0;0;0;0;1
5;45;False;0;0;0;0;0;1;0;0;0;0;0;1
6;45;False;0;0;0;0;0;1;0;0;0;0;0;1
7;45;False;0;0;0;0;0;1;0;0;0;0;1;2
8;45;False;0;0;0;0;0;0;0;0;0;0;3;3
9;45;False;0;0;0;0;0;1;0;0;0;0;1;2
10;45;False;0;0;0;0;0;1;0;0;0;0;1;2
11;45;True;6;2;3;1;2;6;1;4;4;5;2;30
12;45;True;7;1;2;3;1;2;2;3;2;0;3;19
13;45;True;8;2;1;2;2;4;2;5;3;1;4;26
14;45;True;9;2;1;3;3;3;3;2;3;2;3;25
15;45;True;10;1;1;3;3;4;2;1;4;3;2;24
16;45;True;7;1;0;2;5;6;2;3;3;4;4;30
17;45;True;7;1;1;3;5;4;1;5;5;3;3;31
18;45;True;13;1;2;2;2;2;4;4;4;5;2;28
19;45;True;2;1;2;1;4;2;1;2;4;2;3;22
20;45;True;6;1;2;3;2;5;2;3;2;3;3;26
21;50;False;0;0;0;0;1;0;0;0;1;0;0;2
22;50;False;0;0;0;0;0;0;0;2;2;0;0;4
23;50;False;0;0;0;0;0;1;0;0;1;0;0;2
24;50;False;0;0;0;0;0;1;0;0;0;0;0;1
25;50;False;0;0;0;0;0;0;0;1;0;0;0;1
26;50;False;0;0;0;0;0;0;0;2;0;0;0;2
27;50;False;0;0;0;0;0;0;0;1;1;0;0;2
28;50;False;0;0;0;0;0;1;0;0;0;0;0;1
29;50;False;0;0;0;0;0;1;0;0;0;0;0;1
30;50;False;0;0;0;0;0;1;0;1;0;0;0;2
31;50;True;16;1;3;3;4;4;2;4;3;4;6;34
32;50;True;9;1;3;2;6;4;2;4;4;5;3;34
33;50;True;8;4;2;5;4;5;2;4;5;4;4;39
34;50;True;10;1;4;4;4;4;2;5;4;4;2;34
35;50;True;14;3;2;4;5;4;2;3;2;6;4;35
36;50;True;12;3;3;2;5;3;2;1;4;5;4;32
37;50;True;7;3;4;1;4;3;4;4;3;4;5;35
38;50;True;10;2;5;1;6;2;2;3;4;4;3;32
39;50;True;4;2;6;2;6;4;3;2;6;2;5;38
40;50;True;14;2;3;3;5;4;1;4;2;4;3;31
41;55;False;0;0;1;1;1;0;0;0;0;0;0;3
42;55;False;0;0;0;0;0;0;0;0;0;0;1;1
43;55;False;0;0;0;0;1;0;0;0;0;0;0;1
44;55;False;0;0;0;0;0;0;0;0;0;0;1;1
45;55;False;0;0;1;0;1;0;0;0;0;0;0;2
46;55;False;0;0;1;0;0;0;0;0;0;0;1;2
47;55;False;0;0;1;0;0;0;0;0;0;0;1;2
48;55;False;0;0;1;1;0;0;0;0;0;0;0;2
49;55;False;0;0;1;0;1;0;0;0;0;0;0;2
50;55;False;0;0;2;0;0;0;0;0;0;0;0;2
51;55;True;13;4;5;4;4;4;6;4;4;2;5;42
52;55;True;12;3;3;4;6;3;5;2;4;2;4;36
53;55;True;13;4;4;4;4;5;3;3;3;3;5;38
54;55;True;15;2;4;5;4;1;3;3;2;2;5;31
55;55;True;9;2;4;4;4;4;5;4;4;3;5;39
56;55;True;10;5;3;2;3;3;4;4;4;2;3;33
57;55;True;21;1;4;5;3;5;3;3;5;2;4;35
58;55;True;13;2;4;6;6;4;6;2;3;2;5;40
59;55;True;13;3;5;4;5;5;2;3;3;1;3;34
60;55;True;12;4;6;5;3;4;6;4;3;1;5;41
61;60;False;0;0;0;1;0;1;0;0;0;0;1;3
62;60;False;0;0;0;0;2;1;0;0;0;0;1;4
63;60;False;0;0;0;1;0;1;0;0;0;0;1;3
64;60;False;0;0;0;1;0;1;0;0;0;0;1;3
65;60;False;0;0;0;0;2;1;0;0;0;0;1;4
66;60;False;0;0;0;0;1;1;0;0;0;0;1;3
67;60;False;0;0;0;1;1;0;0;0;0;0;1;3
68;60;False;2;0;0;1;1;0;0;0;0;0;0;2
69;60;False;2;0;0;1;1;1;0;0;0;0;0;3
70;60;False;0;0;0;1;2;0;0;0;0;0;1;4
71;60;True;6;3;3;4;3;1;4;5;2;3;2;30
72;60;True;13;2;4;2;4;3;3;4;2;1;2;27
73;60;True;5;3;4;3;4;1;4;6;3;2;2;32
74;60;True;0;3;5;3;2;3;3;5;4;2;2;32
75;60;True;9;3;4;5;2;3;3;2;4;3;3;32
76;60;True;17;2;5;4;3;3;5;4;3;1;4;34
77;60;True;9;5;2;4;3;4;5;4;2;1;4;34
78;60;True;12;3;3;3;3;3;2;6;4;2;3;32
79;60;True;6;3;3;3;1;2;2;5;3;2;3;27
80;60;True;15;2;4;4;1;3;4;5;5;3;3;34
81;65;False;2;2;0;0;0;0;0;0;0;2;0;4
82;65;False;0;1;0;0;0;0;0;0;0;1;0;2
83;65;False;0;1;0;0;0;0;0;0;0;1;0;2
84;65;False;0;2;0;0;0;0;0;0;0;1;0;3
85;65;False;0;0;0;0;0;1;0;0;0;0;0;1
86;65;False;0;1;0;0;0;0;0;0;0;0;0;1
87;65;False;0;1;0;0;0;0;0;0;0;1;0;2
88;65;False;0;0;0;0;0;0;0;0;0;1;0;1
89;65;False;0;1;0;0;0;0;0;0;0;1;0;2
90;65;False;0;1;0;0;0;0;0;0;0;1;0;2
91;65;True;12;4;4;3;3;4;2;3;4;6;2;35
92;65;True;4;4;3;3;4;2;3;5;4;4;3;35
93;65;True;12;5;3;3;2;5;3;4;3;5;0;33
94;65;True;13;5;6;4;2;2;3;3;3;4;3;35
95;65;True;6;4;4;5;2;2;2;3;4;4;1;31
96;65;True;16;4;3;4;4;4;1;4;3;4;4;35
97;65;True;13;3;3;3;4;2;3;5;5;4;3;35
98;65;True;6;2;6;3;3;3;2;4;4;5;4;36
99;65;True;15;4;5;1;2;3;3;3;4;5;3;33
100;65;True;19;3;5;4;3;2;3;4;4;4;3;35
101;70;False;0;0;0;0;1;0;0;0;0;0;0;1
102;70;False;2;0;0;0;0;0;0;0;0;0;0;0
103;70;False;4;0;0;0;0;0;1;0;0;0;0;1
104;70;False;0;0;0;0;1;0;1;0;0;0;0;2
105;70;False;0;0;0;0;0;0;0;0;0;0;0;0
106;70;False;0;0;0;0;1;0;1;0;0;0;0;2
107;70;False;0;0;0;0;1;0;1;0;0;0;0;2
108;70;False;0;0;1;0;0;0;0;0;0;0;0;1
109;70;False;0;0;0;0;1;0;1;0;0;0;0;2
110;70;False;0;0;0;0;1;0;0;0;0;0;0;1
111;70;True;10;3;3;5;2;1;3;2;5;3;4;31
112;70;True;13;2;3;4;5;2;3;3;4;2;4;32
113;70;True;16;3;5;4;5;0;4;2;5;4;2;34
114;70;True;7;3;3;2;7;3;5;1;4;1;2;31
115;70;True;8;3;3;4;5;3;4;1;5;4;2;34
116;70;True;11;3;4;3;4;1;5;2;5;2;4;33
117;70;True;11;3;3;3;3;3;4;2;4;4;4;33
118;70;True;7;3;4;2;5;3;4;2;5;4;4;36
119;70;True;10;3;3;4;4;3;3;4;3;5;4;36
120;70;True;13;2;4;5;4;2;5;2;5;2;4;35
121;75;False;0;0;1;0;0;0;1;0;0;1;0;3
122;75;False;0;0;1;0;0;0;1;0;0;1;0;3
123;75;False;0;1;1;0;0;0;0;0;0;0;0;2
124;75;False;0;0;0;0;0;0;2;0;0;1;0;3
125;75;False;0;0;1;0;0;0;1;0;0;1;0;3
126;75;False;0;0;1;0;0;0;1;0;0;0;0;2
127;75;False;0;1;0;0;0;0;1;0;0;0;0;2
128;75;False;0;0;1;0;0;0;1;0;0;0;0;2
129;75;False;0;0;0;0;0;0;1;0;0;1;0;2
130;75;False;0;0;1;0;0;0;0;0;0;1;0;2
131;75;True;5;4;3;3;4;2;4;1;2;4;4;31
132;75;True;9;2;3;5;3;3;4;4;3;4;4;35
133;75;True;5;2;5;5;3;4;4;5;2;4;4;38
134;75;True;7;3;4;6;2;4;4;2;1;3;3;32
135;75;True;13;4;3;5;3;3;3;2;2;2;4;31
136;75;True;9;2;6;4;3;1;3;2;4;4;4;33
137;75;True;9;1;3;5;4;3;3;4;2;3;4;32
138;75;True;12;2;3;5;2;3;3;4;0;4;4;30
139;75;True;13;3;3;5;3;2;3;2;3;2;5;31
140;75;True;4;1;7;3;1;2;2;3;3;4;5;31
141;80;False;0;0;1;0;1;0;0;0;0;0;1;3
142;80;False;0;0;0;0;1;0;0;0;0;0;1;2
143;80;False;0;0;0;0;1;0;0;0;0;0;0;1
144;80;False;0;1;0;0;0;0;0;0;0;0;0;1
145;80;False;0;0;0;0;2;0;0;0;0;0;1;3
146;80;False;0;0;1;0;1;0;0;0;0;0;0;2
147;80;False;2;0;0;0;2;0;0;0;0;0;1;3
148;80;False;0;0;1;0;1;0;0;0;0;0;0;2
149;80;False;0;0;1;0;1;0;0;0;0;0;1;3
150;80;False;0;0;1;0;1;0;0;0;0;0;1;3
151;80;True;16;3;1;5;3;3;3;1;4;1;3;27
152;80;True;9;3;3;3;6;3;3;2;4;2;1;30
153;80;True;15;5;3;1;4;4;3;4;2;4;2;32
154;80;True;10;6;2;2;4;4;4;5;6;4;2;39
155;80;True;13;4;3;3;3;2;6;5;4;5;1;36
156;80;True;15;3;4;2;4;3;5;4;4;5;1;35
157;80;True;9;2;3;2;4;5;4;4;3;4;2;33
158;80;True;11;4;3;3;4;4;3;3;7;5;3;39
159;80;True;14;4;2;4;4;5;5;3;4;4;1;36
160;80;True;11;4;1;2;4;3;4;4;4;3;3;32
